,5d5fc2010740150018a0291e
FishN,12
Type,RT
GiveUpTime,2.356
PondTime,93.322
TimeLeft,714.612
PondOutcome,80
TotalOutcome,398
PondStart,PondStart
PondIntroTime,17.147548880893737
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.656
Pond10Fish1_PondTime,8.554
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,409
Pond10Fish1_TimeLeft,688.305
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.15
Pond10Fish2_PondTime,15.529
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,420
Pond10Fish2_TimeLeft,681.33
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.595
Pond10Fish3_PondTime,22.89
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,431
Pond10Fish3_TimeLeft,673.969
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.636
Pond10Fish4_PondTime,30.702
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,442
Pond10Fish4_TimeLeft,666.157
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.649
Pond10Fish5_PondTime,39.06
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,453
Pond10Fish5_TimeLeft,657.799
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.607
Pond10Fish6_PondTime,48.084
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,464
Pond10Fish6_TimeLeft,648.775
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.73
Pond10Fish7_PondTime,57.941
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,475
Pond10Fish7_TimeLeft,638.918
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.733
Pond10Fish8_PondTime,68.872
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,486
Pond10Fish8_TimeLeft,627.987
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.549
Pond10Fish9_PondTime,81.229
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,497
Pond10Fish9_TimeLeft,615.63
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,-1
Pond10Fish10_PondTime,95.638
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,497
Pond10Fish10_TimeLeft,601.221
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.27
