,5c1a210b97ae160001392b05
Pond11Fish1_TimeLeft,581.461
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.247
Pond11Fish2_PondTime,14.105
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,612
Pond11Fish2_TimeLeft,575.324
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,1.054
Pond11Fish3_PondTime,20.509
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,623
Pond11Fish3_TimeLeft,568.92
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.48
Pond11Fish4_PondTime,27.178
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,634
Pond11Fish4_TimeLeft,562.251
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.386
Pond11Fish5_PondTime,34.174
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,645
Pond11Fish5_TimeLeft,555.255
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.686
Pond11Fish6_PondTime,41.584
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,656
Pond11Fish6_TimeLeft,547.845
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.148
Pond11Fish7_PondTime,49.429
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,667
Pond11Fish7_TimeLeft,540
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.091
Pond11Fish8_PondTime,57.822
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,678
Pond11Fish8_TimeLeft,531.607
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.908
Pond11Fish9_PondTime,67.087
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,689
Pond11Fish9_TimeLeft,522.342
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.376
Pond11Fish10_PondTime,76.998
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,700
Pond11Fish10_TimeLeft,512.431
Type,N
FishN,14
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,1.387
Pond11Fish11_PondTime,87.945
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,711
Pond11Fish11_TimeLeft,501.484
Type,N
FishN,14
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.241
Pond11Fish12_PondTime,100.332
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,722
Pond11Fish12_TimeLeft,489.097
Type,N
FishN,14
Fish,13
Pond11Fish13_FishType,green
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.334
Pond11Fish13_PondTime,114.728
Pond11Fish13_PondOutcome,143
Pond11Fish13_TotalOutcome,733
Pond11Fish13_TimeLeft,474.701
PondEnd_LastFish,13
FishN,14
Type,N
GiveUpTime,1.611
PondTime,115.902
TimeLeft,473.024
PondOutcome,143
TotalOutcome,733
PondStart,PondStart
PondIntroTime,16.7443964863196
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.246
Pond10Fish1_PondTime,8.041
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,743
Pond10Fish1_TimeLeft,447.56
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.569
Pond10Fish2_PondTime,14.445
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,753
Pond10Fish2_TimeLeft,441.156
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,golden
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.143
Pond10Fish3_PondTime,21.111
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,773
Pond10Fish3_TimeLeft,434.49
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.666
Pond10Fish4_PondTime,28.101
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,783
Pond10Fish4_TimeLeft,427.5
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.158
Pond10Fish5_PondTime,35.472
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,793
Pond10Fish5_TimeLeft,420.129
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.281
Pond10Fish6_PondTime,43.309
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,803
Pond10Fish6_TimeLeft,412.292
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.617
Pond10Fish7_PondTime,51.712
Pond10Fish7_PondOutcome,80
Pond10Fish7_TotalOutcome,813
Pond10Fish7_TimeLeft,403.889
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.142
Pond10Fish8_PondTime,60.763
Pond10Fish8_PondOutcome,90
Pond10Fish8_TotalOutcome,823
Pond10Fish8_TimeLeft,394.838
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.453
Pond10Fish9_PondTime,70.667
Pond10Fish9_PondOutcome,100
Pond10Fish9_TotalOutcome,833
Pond10Fish9_TimeLeft,384.934
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,1.287
Pond10Fish10_PondTime,81.618
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,843
Pond10Fish10_TimeLeft,373.983
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,8.571428571428571
Pond10Fish11_CatchTime,1.551
Pond10Fish11_PondTime,93.996
Pond10Fish11_PondOutcome,120
Pond10Fish11_TotalOutcome,853
Pond10Fish11_TimeLeft,361.605
Type,RT
FishN,19
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,10
Pond10Fish12_CatchTime,1.156
Pond10Fish12_PondTime,108.402
Pond10Fish12_PondOutcome,130
Pond10Fish12_TotalOutcome,863
