,5dd12755381b671ab8552989
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,0.968
Pond7Fish3_PondTime,27.197
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,300
Pond7Fish3_TimeLeft,956.229
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6.666666666666667
Pond7Fish4_CatchTime,1.231
Pond7Fish4_PondTime,37.087
Pond7Fish4_PondOutcome,50
Pond7Fish4_TotalOutcome,310
Pond7Fish4_TimeLeft,946.339
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,golden
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,0.82
Pond7Fish5_PondTime,48.079
Pond7Fish5_PondOutcome,70
Pond7Fish5_TotalOutcome,330
Pond7Fish5_TimeLeft,935.347
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,8.571428571428571
Pond7Fish6_CatchTime,1.364
Pond7Fish6_PondTime,60.456
Pond7Fish6_PondOutcome,80
Pond7Fish6_TotalOutcome,340
Pond7Fish6_TimeLeft,922.97
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,golden
Pond7Fish7_FishLatency,10
Pond7Fish7_CatchTime,1.202
Pond7Fish7_PondTime,74.866
Pond7Fish7_PondOutcome,100
Pond7Fish7_TotalOutcome,360
Pond7Fish7_TimeLeft,908.56
PondEnd_LastFish,7
FishN,15
Type,RT
GiveUpTime,0.834
PondTime,92.059
TimeLeft,890.862
PondOutcome,100
TotalOutcome,360
PondStart,PondStart
PondIntroTime,19.271681199315935
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.75
Pond10Fish1_CatchTime,0.94
Pond10Fish1_PondTime,8.305
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,370
Pond10Fish1_TimeLeft,862.662
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4
Pond10Fish2_CatchTime,1.185
Pond10Fish2_PondTime,14.969
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,380
Pond10Fish2_TimeLeft,855.998
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.285714285714286
Pond10Fish3_CatchTime,0.549
Pond10Fish3_PondTime,21.967
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,390
Pond10Fish3_TimeLeft,849
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,golden
Pond10Fish4_FishLatency,4.615384615384615
Pond10Fish4_CatchTime,1.108
Pond10Fish4_PondTime,29.368
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,410
Pond10Fish4_TimeLeft,841.599
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5
Pond10Fish5_CatchTime,1.02
Pond10Fish5_PondTime,37.218
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,420
Pond10Fish5_TimeLeft,833.749
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,5.454545454545454
Pond10Fish6_CatchTime,1.189
Pond10Fish6_PondTime,45.641
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,430
Pond10Fish6_TimeLeft,825.326
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,golden
Pond10Fish7_FishLatency,6
Pond10Fish7_CatchTime,0.986
Pond10Fish7_PondTime,54.717
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,450
Pond10Fish7_TimeLeft,816.25
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,6.666666666666667
Pond10Fish8_CatchTime,1.095
Pond10Fish8_PondTime,64.587
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,460
Pond10Fish8_TimeLeft,806.38
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,golden
Pond10Fish9_FishLatency,7.5
Pond10Fish9_CatchTime,0.864
Pond10Fish9_PondTime,75.564
Pond10Fish9_PondOutcome,120
Pond10Fish9_TotalOutcome,480
Pond10Fish9_TimeLeft,795.403
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,8.571428571428571
Pond10Fish10_CatchTime,1.044
Pond10Fish10_PondTime,87.968
Pond10Fish10_PondOutcome,130
Pond10Fish10_TotalOutcome,490
Pond10Fish10_TimeLeft,782.999
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,2.384
PondTime,89.593
TimeLeft,780.863
PondOutcome,130
TotalOutcome,490
PondStart,PondStart
PondIntroTime,17.062864596955478
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.75
Pond5Fish1_CatchTime,1.191
Pond5Fish1_PondTime,8.324
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,501
Pond5Fish1_TimeLeft,754.85
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4
Pond5Fish2_CatchTime,0.991
Pond5Fish2_PondTime,15.011
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,512
Pond5Fish2_TimeLeft,748.163
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.285714285714286
Pond5Fish3_CatchTime,1.17
Pond5Fish3_PondTime,22.04
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,523
Pond5Fish3_TimeLeft,741.134
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4.615384615384615
Pond5Fish4_CatchTime,1.145
Pond5Fish4_PondTime,29.439
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,534
Pond5Fish4_TimeLeft,733.735
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5
Pond5Fish5_CatchTime,1.359
Pond5Fish5_PondTime,37.314
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,545
Pond5Fish5_TimeLeft,725.86
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,5.454545454545454
Pond5Fish6_CatchTime,1.084
Pond5Fish6_PondTime,45.724
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,556
Pond5Fish6_TimeLeft,717.449
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,1.166
Pond5Fish7_PondTime,54.787
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,567
Pond5Fish7_TimeLeft,708.387
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,0.708
Pond5Fish8_PondTime,64.663
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,578
Pond5Fish8_TimeLeft,698.511
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,0.614
PondTime,75.607
TimeLeft,687.063
PondOutcome,88
TotalOutcome,578
PondStart,PondStart
PondIntroTime,10.52108112256974
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.116
Pond1Fish1_PondTime,9.739
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,590
Pond1Fish1_TimeLeft,665.473
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.983
Pond1Fish2_PondTime,18.14
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,602
Pond1Fish2_TimeLeft,657.072
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.078
Pond1Fish3_PondTime,27.222
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,614
Pond1Fish3_TimeLeft,647.99
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.977
Pond1Fish4_PondTime,37.1
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,626
Pond1Fish4_TimeLeft,638.112
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.092
Pond1Fish5_PondTime,48.045
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,638
Pond1Fish5_TimeLeft,627.167
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,gray
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.013
Pond1Fish6_PondTime,60.452
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,640
Pond1Fish6_TimeLeft,614.76
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.219
Pond1Fish7_PondTime,74.864
Pond1Fish7_PondOutcome,74
Pond1Fish7_TotalOutcome,652
Pond1Fish7_TimeLeft,600.348
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.903
PondTime,75.181
TimeLeft,599.52
PondOutcome,74
TotalOutcome,652
PondStart,PondStart
PondIntroTime,19.0163282956928
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.138
Pond12Fish1_PondTime,9.788
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,663
Pond12Fish1_TimeLeft,570.078
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.271
Pond12Fish2_PondTime,18.176
