,5b7c0430c4e6ad0001d35067
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,0.908
Pond3Fish12_PondTime,93.597
Pond3Fish12_PondOutcome,110
Pond3Fish12_TotalOutcome,610
Pond3Fish12_TimeLeft,299.806
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,golden
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.223
Pond3Fish13_PondTime,106.011
Pond3Fish13_PondOutcome,130
Pond3Fish13_TotalOutcome,630
Pond3Fish13_TimeLeft,287.393
Type,RT
FishN,19
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.111
Pond3Fish14_PondTime,120.427
Pond3Fish14_PondOutcome,140
Pond3Fish14_TotalOutcome,640
Pond3Fish14_TimeLeft,272.977
Type,RT
FishN,19
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.153
Pond3Fish15_PondTime,137.856
Pond3Fish15_PondOutcome,150
Pond3Fish15_TotalOutcome,650
Pond3Fish15_TimeLeft,255.548
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,14.746
PondTime,151.968
TimeLeft,240.934
PondOutcome,150
TotalOutcome,650
PondStart,PondStart
PondIntroTime,19.529033824801445
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.226
Pond5Fish1_PondTime,8.955
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,661
Pond5Fish1_TimeLeft,211.806
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.038
Pond5Fish2_PondTime,16.359
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,672
Pond5Fish2_TimeLeft,204.401
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.13
Pond5Fish3_PondTime,24.228
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,683
Pond5Fish3_TimeLeft,196.533
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.895
Pond5Fish4_PondTime,32.643
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,694
Pond5Fish4_TimeLeft,188.117
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.253
Pond5Fish5_PondTime,41.728
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,705
Pond5Fish5_TimeLeft,179.033
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.849
Pond5Fish6_PondTime,51.637
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,716
Pond5Fish6_TimeLeft,169.124
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.982
Pond5Fish7_PondTime,62.616
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,727
Pond5Fish7_TimeLeft,158.145
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.127
Pond5Fish8_PondTime,75.03
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,738
Pond5Fish8_TimeLeft,145.731
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.35
Pond5Fish9_PondTime,89.438
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,749
Pond5Fish9_TimeLeft,131.323
Type,N
FishN,12
Fish,10
Pond5Fish10_FishType,green
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.51
Pond5Fish10_PondTime,106.839
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,760
Pond5Fish10_TimeLeft,113.922
Type,N
FishN,12
Fish,11
Pond5Fish11_FishType,green
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.139
