,5b848525338a930001566c95
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.3333333333333335
Pond9Fish1_CatchTime,0.78
Pond9Fish1_PondTime,7.807
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,287
Pond9Fish1_TimeLeft,893.374
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,3.5294117647058822
Pond9Fish2_CatchTime,-1
Pond9Fish2_PondTime,13.966
Pond9Fish2_PondOutcome,10
Pond9Fish2_TotalOutcome,287
Pond9Fish2_TimeLeft,887.215
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,0.649
Pond9Fish3_PondTime,20.321
Pond9Fish3_PondOutcome,20
Pond9Fish3_TotalOutcome,297
Pond9Fish3_TimeLeft,880.86
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,golden
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.715
Pond9Fish4_PondTime,26.962
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,317
Pond9Fish4_TimeLeft,874.219
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.609
Pond9Fish5_PondTime,33.938
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,327
Pond9Fish5_TimeLeft,867.243
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,golden
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.815
Pond9Fish6_PondTime,41.295
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,347
Pond9Fish6_TimeLeft,859.886
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,0.875
Pond9Fish7_PondTime,49.104
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,357
Pond9Fish7_TimeLeft,852.077
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.904
Pond9Fish8_PondTime,57.464
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,367
Pond9Fish8_TimeLeft,843.717
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,0.874
Pond9Fish9_PondTime,66.489
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,377
Pond9Fish9_TimeLeft,834.692
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.795
Pond9Fish10_PondTime,76.352
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,387
Pond9Fish10_TimeLeft,824.829
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,0.98
Pond9Fish11_PondTime,87.281
Pond9Fish11_PondOutcome,120
Pond9Fish11_TotalOutcome,397
Pond9Fish11_TimeLeft,813.9
PondEnd_LastFish,11
FishN,16
Type,RT
GiveUpTime,7.05
PondTime,93.513
TimeLeft,807.166
PondOutcome,120
TotalOutcome,397
PondStart,PondStart
PondIntroTime,12.164166292641312
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,1.11
Pond10Fish1_PondTime,9.275
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,408
Pond10Fish1_TimeLeft,785.101
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.045
Pond10Fish2_PondTime,17.107
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,419
Pond10Fish2_TimeLeft,777.269
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.733
Pond10Fish3_PondTime,25.477
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,430
Pond10Fish3_TimeLeft,768.899
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.742
Pond10Fish4_PondTime,34.506
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,441
Pond10Fish4_TimeLeft,759.87
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.845
Pond10Fish5_PondTime,44.365
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,452
Pond10Fish5_TimeLeft,750.011
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.744
Pond10Fish6_PondTime,55.293
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,463
Pond10Fish6_TimeLeft,739.083
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,11.316
PondTime,65.559
TimeLeft,728.313
PondOutcome,66
TotalOutcome,463
PondStart,PondStart
PondIntroTime,13.611920909024775
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,8.075
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,463
Pond3Fish1_TimeLeft,705.993
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.743
Pond3Fish2_PondTime,14.43
Pond3Fish2_PondOutcome,10
Pond3Fish2_TotalOutcome,473
Pond3Fish2_TimeLeft,699.638
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,golden
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.639
Pond3Fish3_PondTime,21.07
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,493
Pond3Fish3_TimeLeft,692.998
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.908
Pond3Fish4_PondTime,28.045
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,503
Pond3Fish4_TimeLeft,686.023
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.596
Pond3Fish5_PondTime,35.404
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,513
Pond3Fish5_TimeLeft,678.664
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.725
Pond3Fish6_PondTime,43.212
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,523
Pond3Fish6_TimeLeft,670.856
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.518
Pond3Fish7_PondTime,51.571
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,533
Pond3Fish7_TimeLeft,662.497
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.538
Pond3Fish8_PondTime,60.599
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,543
Pond3Fish8_TimeLeft,653.469
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.624
Pond3Fish9_PondTime,70.459
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,553
Pond3Fish9_TimeLeft,643.609
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,0.77
Pond3Fish10_PondTime,81.389
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,563
Pond3Fish10_TimeLeft,632.679
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,0.617
Pond3Fish11_PondTime,93.753
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,573
Pond3Fish11_TimeLeft,620.315
PondEnd_LastFish,11
FishN,19
Type,RT
GiveUpTime,8.597
PondTime,101.167
TimeLeft,612.398
PondOutcome,110
TotalOutcome,573
PondStart,PondStart
PondIntroTime,16.5063643688336
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.798
Pond12Fish1_PondTime,8.273
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,583
Pond12Fish1_TimeLeft,585.509
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.759
Pond12Fish2_PondTime,14.93
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,593
Pond12Fish2_TimeLeft,578.852
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.921
Pond12Fish3_PondTime,21.907
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,603
Pond12Fish3_TimeLeft,571.875
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.917
Pond12Fish4_PondTime,29.265
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,613
Pond12Fish4_TimeLeft,564.517
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.241
Pond12Fish5_PondTime,37.09
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,623
Pond12Fish5_TimeLeft,556.692
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.973
Pond12Fish6_PondTime,45.448
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,633
Pond12Fish6_TimeLeft,548.334
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.085
Pond12Fish7_PondTime,54.475
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,643
Pond12Fish7_TimeLeft,539.306
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,8.039
PondTime,61.798
TimeLeft,531.479
PondOutcome,70
TotalOutcome,643
PondStart,PondStart
PondIntroTime,16.27203743206337
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.792
Pond8Fish1_PondTime,8.565
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,653
Pond8Fish1_TimeLeft,504.899
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.793
Pond8Fish2_PondTime,15.539
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,663
Pond8Fish2_TimeLeft,497.926
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.76
Pond8Fish3_PondTime,22.898
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,673
Pond8Fish3_TimeLeft,490.567
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.838
Pond8Fish4_PondTime,30.706
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,683
Pond8Fish4_TimeLeft,482.759
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,1.454
Pond8Fish5_PondTime,39.066
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,693
Pond8Fish5_TimeLeft,474.399
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,0.915
Pond8Fish6_PondTime,48.094
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,703
Pond8Fish6_TimeLeft,465.371
PondEnd_LastFish,6
FishN,17
Type,RT
GiveUpTime,4.391
