,5dfe2d266552efac7758576e
Pond6Fish11_FishLatency,10
Pond6Fish11_CatchTime,0.852
Pond6Fish11_PondTime,102.4
Pond6Fish11_PondOutcome,140
Pond6Fish11_TotalOutcome,590
Pond6Fish11_TimeLeft,631.799
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,12
Pond6Fish12_CatchTime,0.937
Pond6Fish12_PondTime,119.793
Pond6Fish12_PondOutcome,150
Pond6Fish12_TotalOutcome,600
Pond6Fish12_TimeLeft,614.406
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.485
PondTime,141.911
TimeLeft,591.787
PondOutcome,150
TotalOutcome,600
PondStart,PondStart
PondIntroTime,11.334282429888844
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.974
Pond10Fish1_PondTime,9.79
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,612
Pond10Fish1_TimeLeft,570.029
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.981
Pond10Fish2_PondTime,18.176
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,624
Pond10Fish2_TimeLeft,561.643
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.811
Pond10Fish3_PondTime,27.244
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,626
Pond10Fish3_TimeLeft,552.575
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.024
Pond10Fish4_PondTime,37.146
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,638
Pond10Fish4_TimeLeft,542.673
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.913
Pond10Fish5_PondTime,48.134
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,650
Pond10Fish5_TimeLeft,531.685
Type,RD
FishN,19
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.887
Pond10Fish6_PondTime,60.536
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,662
Pond10Fish6_TimeLeft,519.283
Type,RD
FishN,19
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.795
Pond10Fish7_PondTime,74.943
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,674
Pond10Fish7_TimeLeft,504.876
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.532
PondTime,91.954
TimeLeft,487.364
PondOutcome,74
TotalOutcome,674
PondStart,PondStart
PondIntroTime,14.890292533673346
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.739
Pond7Fish1_PondTime,7.881
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,686
Pond7Fish1_TimeLeft,463.948
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.778
Pond7Fish2_PondTime,14.024
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,698
Pond7Fish2_TimeLeft,457.805
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.826
Pond7Fish3_PondTime,20.407
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,710
Pond7Fish3_TimeLeft,451.422
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.875
Pond7Fish4_PondTime,27.076
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,722
Pond7Fish4_TimeLeft,444.753
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.786
Pond7Fish5_PondTime,34.097
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,734
Pond7Fish5_TimeLeft,437.732
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.933
Pond7Fish6_PondTime,41.501
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,746
Pond7Fish6_TimeLeft,430.328
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5
